bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),22:20,7h 40m,06:00,7 Seats,4.5,₹665
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FlixBus,Electric A/C Semi Sleeper (2+2),22:30,7h 15m,05:45,20 Seats,4.4,₹518
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:30,7h 50m,06:20,9 Seats,4.3,₹419
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,7h 45m,06:15,10 Seats,4.6,₹389
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vikram Travels,VE A/C Sleeper (2+1),23:10,7h,06:10,7 Seats,4.4,₹559
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,6h 5m,05:30,18 Seats,4.3,₹539
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,5h 45m,05:35,9 Seats,4.3,₹409
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,7h 25m,06:15,11 Seats,4.2,₹389
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:10,7h 40m,06:50,12 Seats,4.1,₹349
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,A/C Seater / Sleeper (2+1),23:10,7h,06:10,9 Seats,4.2,₹370
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,7h 15m,05:45,9 Seats,4.1,₹359
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),21:40,6h 45m,04:25,7 Seats,4.0,₹332
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:15,7h 45m,06:00,9 Seats,4.1,₹389
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Semi Sleeper (2+2),23:45,6h 40m,06:25,7 Seats,4.2,₹495
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,zingbus plus,A/C Sleeper (2+1),23:55,7h 5m,07:00,3 Seats,4.1,₹515
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Svkdt travels,A/C Sleeper (2+1),22:50,7h 10m,06:00,8 Seats,4.1,₹620
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,6h 55m,06:40,12 Seats,4.0,₹369
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,SRI VIJAYA KRISHNA TOURS and TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,5h 1m,05:00,29 Seats,3.0,₹669
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,MAHA BUS,A/C Sleeper (2+1),02:15,3h 15m,05:30,22 Seats,3.7,₹749
Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,3h 40m,03:30,1 Seats,0.0,"₹5,000"
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),15:40,4h 20m,20:00,40 Seats,4.9,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),13:20,6h,19:20,42 Seats,4.7,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),09:40,3h 40m,13:20,31 Seats,4.6,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),19:50,4h 15m,00:05,44 Seats,4.7,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),12:10,4h 5m,16:15,34 Seats,4.8,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,zingbus plus,A/C Seater / Sleeper (2+1),04:00,3h 10m,07:10,10 Seats,3.7,₹420
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),17:35,4h 15m,21:50,39 Seats,4.4,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,zingbus plus,A/C Seater / Sleeper (2+1),04:00,3h 10m,07:10,10 Seats,3.7,₹420
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),10:30,4h 40m,15:10,35 Seats,4.5,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),13:10,4h 5m,17:15,41 Seats,4.4,₹249
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),23:40,4h 25m,04:05,38 Seats,4.8,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),07:20,3h 35m,10:55,26 Seats,4.4,₹277
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),22:15,4h 30m,02:45,37 Seats,4.8,₹277
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),16:50,6h,22:50,39 Seats,3.8,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),20:50,5h 25m,02:15,44 Seats,3.8,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),08:51,4h 37m,13:28,34 Seats,3.6,₹279
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),09:22,4h 37m,13:59,30 Seats,3.8,₹279
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),18:35,4h 10m,22:45,44 Seats,4.4,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),12:20,5h 25m,17:45,43 Seats,4.5,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),06:15,5h 25m,11:40,22 Seats,4.0,₹284
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),23:20,5h 25m,04:45,43 Seats,4.4,₹332
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),15:37,5h 2m,20:39,33 Seats,3.1,₹279
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),00:25,4h 20m,04:45,36 Seats,4.4,₹323
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,RK Travels,Non A/C Seater / Sleeper (2+1),00:40,4h,04:40,25 Seats,4.3,₹399
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,FRESHBUS,Electric A/C Seater (2+2),01:40,4h 15m,05:55,33 Seats,4.9,₹332
Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),07:51,4h 37m,12:28,28 Seats,3.8,₹279
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,FlixBus,A/C Seater / Sleeper (2+1),19:45,4h 45m,00:30,32 Seats,3.8,₹343
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:45,4h 30m,00:15,2 Seats,4.5,₹479
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Kamakshi Tours And Travels,A/C Sleeper (2+1),19:45,6h 15m,02:00,4 Seats,3.9,₹649
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,RK Travels,A/C Seater / Sleeper (2+1),21:00,6h 50m,03:50,25 Seats,3.8,₹499
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri Vengamamba Bus Transport (SVBT),A/C Seater/Sleeper (2+1),19:45,7h 15m,03:00,9 Seats,4.5,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Simhapuri Travels,NON A/C Sleeper (2+1),19:45,7h 15m,03:00,11 Seats,3.4,₹349
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sai Balaji Travels,A/C Seater / Sleeper (2+1),19:45,4h 45m,00:30,27 Seats,4.6,₹499
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,LIVO BUS,Bharat Benz A/C Sleeper (2+1),22:15,6h 15m,04:30,16 Seats,4.4,₹531
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Kaveri Travels,A/C Seater / Sleeper (2+1),20:00,3h 30m,23:30,8 Seats,3.9,₹359
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:45,5h 45m,01:30,12 Seats,4.2,₹450
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:45,5h 50m,01:35,4 Seats,4.1,₹469
